gene,Localization,lipo,surface_lipo
group_614,,Other,Other
group_615,,Other,Other
group_616,,Other,Other
group_617,,Other,Other
group_618,,Other,Other
group_619,,Other,Other
group_62,,Other,Other
group_620,S,Lipoprotein,Surface
group_621,,Other,Other
group_622,,Other,Other
group_623,,Other,Other
group_624,,Other,Other
group_625,,Other,Other
group_626,,Other,Other
group_627,,Other,Other
group_628,,Other,Other
group_629,,Other,Other
group_63,,Other,Other
group_630,,Other,Other
group_631,S,Lipoprotein,Surface
group_632,,Other,Other
group_633,,Other,Other
group_634,,Other,Other
group_635,,Other,Other
group_636,,Other,Other
group_637,,Other,Other
group_638,,Other,Other
group_639,,Other,Other
group_64,,Other,Other
group_640,,Other,Other
group_641,,Other,Other
group_642,,Other,Other
group_643,,Other,Other
group_644,,Other,Other
group_645,S,Lipoprotein,Surface
group_646,,Other,Other
group_647,,Other,Other
group_648,,Other,Other
group_649,,Other,Other
group_65,,Other,Other
group_650,,Other,Other
group_651,,Other,Other
group_652,,Other,Other
group_653,,Other,Other
group_654,,Other,Other
group_655,S,Lipoprotein,Surface
group_656,,Other,Other
group_657,,Other,Other
group_658,,Other,Other
group_659,,Other,Other
group_66,,Other,Other
group_660,,Other,Other
group_661,,Other,Other
group_662,,Other,Other
group_663,,Other,Other
group_664,,Other,Other
group_665,,Other,Other
group_666,S,Lipoprotein,Surface
group_667,,Other,Other
group_668,,Other,Other
group_669,,Other,Other
group_67,,Other,Other
group_670,,Other,Other
group_671,,Other,Other
group_672,P-OM,Lipoprotein,Other
group_673,,Other,Other
group_674,,Other,Other
group_675,S,Lipoprotein,Surface
group_676,,Other,Other
group_677,,Other,Other
group_678,,Other,Other
group_679,,Other,Other
group_68,,Other,Other
group_680,,Other,Other
group_681,,Other,Other
group_682,,Other,Other
group_683,,Other,Other
group_684,,Other,Other
group_685,,Other,Other
group_686,,Other,Other
group_687,,Other,Other
group_688,,Other,Other
group_689,,Other,Other
group_69,,Other,Other
group_690,,Other,Other
group_691,,Other,Other
group_692,,Other,Other
group_693,,Other,Other
group_694,,Other,Other
group_695,,Other,Other
group_696,,Other,Other
group_697,,Other,Other
group_698,,Other,Other
group_699,,Other,Other
group_7,,Other,Other
group_70,,Other,Other
group_700,S,Lipoprotein,Surface
group_701,,Other,Other
group_702,,Other,Other
group_703,,Other,Other
group_704,,Other,Other
group_705,,Other,Other
group_706,,Other,Other
group_707,,Other,Other
group_708,,Other,Other
group_709,,Other,Other
group_71,,Other,Other
group_710,,Other,Other
group_711,,Other,Other
group_712,,Other,Other
group_713,,Other,Other
group_714,,Other,Other
group_715,,Other,Other
group_716,,Other,Other
group_717,,Other,Other
group_718,,Other,Other
group_719,,Other,Other
group_72,,Other,Other
group_720,,Other,Other
group_721,,Other,Other
group_722,,Other,Other
group_723,,Other,Other
group_724,,Other,Other
group_725,,Other,Other
group_726,,Other,Other
group_727,,Other,Other
group_728,,Other,Other
group_729,,Other,Other
group_73,P-IM,Lipoprotein,Other
group_730,,Other,Other
group_731,,Other,Other
group_732,,Other,Other
group_733,,Other,Other
group_734,,Other,Other
group_735,,Other,Other
group_736,,Other,Other
group_737,,Other,Other
group_738,,Other,Other
group_739,,Other,Other
group_74,,Lipoprotein,Other
group_740,,Other,Other
group_741,,Other,Other
group_742,,Other,Other
group_743,,Other,Other
group_744,,Other,Other
group_745,,Other,Other
group_746,,Other,Other
group_747,,Other,Other
group_748,,Other,Other
group_749,,Lipoprotein,Other
group_75,,Lipoprotein,Other
group_750,,Other,Other
group_751,,Other,Other
group_752,,Other,Other
group_753,,Other,Other
group_754,,Other,Other
group_755,,Other,Other
group_756,,Other,Other
group_757,,Other,Other
group_758,,Other,Other
group_759,,Other,Other
group_76,,Other,Other
group_760,,Other,Other
group_761,,Other,Other
group_762,,Other,Other
group_763,,Other,Other
group_764,,Other,Other
group_765,S,Lipoprotein,Surface
group_766,,Other,Other
group_767,,Other,Other
group_768,,Other,Other
group_769,,Other,Other
group_77,,Other,Other
group_770,,Other,Other
group_771,,Lipoprotein,Other
group_772,,Other,Other
group_773,,Other,Other
group_774,,Other,Other
group_775,,Other,Other
group_776,,Other,Other
group_777,,Other,Other
group_778,,Other,Other
group_779,S,Lipoprotein,Surface
group_78,,Other,Other
group_780,,Other,Other
group_781,,Other,Other
group_782,,Other,Other
group_783,,Other,Other
group_784,,Other,Other
group_785,,Other,Other
group_786,,Other,Other
group_787,,Other,Other
group_788,,Other,Other
group_789,,Other,Other
group_79,,Other,Other
group_790,,Lipoprotein,Other
group_791,,Other,Other
group_792,,Other,Other
group_793,,Other,Other
group_794,,Other,Other
group_795,,Other,Other
group_796,,Other,Other
group_797,,Other,Other
group_798,,Other,Other
group_799,,Other,Other
group_8,,Other,Other
group_80,,Other,Other
group_800,,Other,Other
group_801,,Other,Other
group_802,,Other,Other
group_803,,Other,Other
group_804,,Other,Other
group_805,,Other,Other
group_806,,Other,Other
group_807,,Other,Other
group_808,,Other,Other
group_809,,Other,Other
group_81,,Other,Other
group_810,,Other,Other
group_811,,Other,Other
group_812,,Other,Other
group_813,,Other,Other
group_814,,Other,Other
group_815,,Other,Other
group_816,,Other,Other
group_817,,Other,Other
group_818,,Other,Other
group_819,,Other,Other
group_82,,Other,Other
group_820,,Other,Other
group_821,,Other,Other
group_822,,Other,Other
group_823,,Other,Other
group_824,,Other,Other
group_825,,Other,Other
group_826,,Other,Other
group_827,,Other,Other
group_828,,Other,Other
group_829,,Other,Other
group_83,,Lipoprotein,Other
group_830,P-IM,Lipoprotein,Other
group_831,,Other,Other
group_832,,Other,Other
group_833,,Other,Other
group_834,,Other,Other
group_835,,Other,Other
group_836,,Other,Other
group_837,,Other,Other
group_838,,Other,Other
group_839,,Other,Other
group_84,,Lipoprotein,Other
group_840,,Other,Other
group_841,S,Lipoprotein,Surface
group_842,S,Lipoprotein,Surface
group_843,,Other,Other
group_844,,Other,Other
group_845,,Other,Other
group_846,,Other,Other
group_847,,Other,Other
group_848,,Other,Other
group_849,,Other,Other
group_85,,Other,Other
group_850,,Other,Other
group_851,,Other,Other
group_852,,Other,Other
group_853,,Other,Other
group_854,,Other,Other
group_855,,Other,Other
group_856,,Other,Other
group_857,,Other,Other
group_858,,Other,Other
group_859,,Other,Other
group_86,,Other,Other
group_860,,Other,Other
group_861,,Other,Other
group_862,,Other,Other
group_863,,Other,Other
group_864,,Other,Other
group_865,,Other,Other
group_866,,Other,Other
group_867,,Other,Other
group_868,,Other,Other
group_869,,Other,Other
group_87,,Other,Other
group_870,,Other,Other
group_871,,Other,Other
group_872,,Other,Other
group_873,,Other,Other
group_874,,Other,Other
group_875,,Other,Other
group_876,,Other,Other
group_877,,Other,Other
group_878,,Other,Other
group_879,,Other,Other
group_88,,Other,Other
group_880,,Other,Other
group_881,,Other,Other
group_882,,Other,Other
group_883,,Other,Other
group_884,,Other,Other
group_885,,Other,Other
group_886,,Other,Other
group_887,,Other,Other
group_888,,Other,Other
group_889,,Other,Other
group_89,,Other,Other
group_890,,Other,Other
group_891,,Other,Other
group_892,,Other,Other
group_893,,Other,Other
group_894,,Other,Other
group_895,,Other,Other
group_896,,Other,Other
group_897,,Other,Other
group_898,,Other,Other
group_899,,Other,Other
group_9,,Other,Other
group_90,,Other,Other
group_900,,Other,Other
group_901,,Other,Other
group_902,,Lipoprotein,Other
group_903,,Other,Other
group_904,,Other,Other
group_905,,Other,Other
group_906,,Other,Other
group_907,,Other,Other
group_908,P-OM,Lipoprotein,Other
group_909,,Other,Other
group_91,,Other,Other
group_910,,Other,Other
group_911,S,Lipoprotein,Surface
group_912,,Other,Other
group_913,,Other,Other
group_914,,Other,Other
group_915,,Other,Other
group_916,,Other,Other
group_917,,Other,Other
group_918,,Other,Other
group_919,,Other,Other
group_92,,Other,Other
group_920,S,Lipoprotein,Surface
group_921,,Other,Other
group_922,,Other,Other
group_923,,Other,Other
group_924,,Other,Other
group_925,,Other,Other
group_926,,Other,Other
group_927,,Other,Other
group_928,,Other,Other
group_929,,Other,Other
group_93,,Other,Other
group_930,,Other,Other
group_931,,Other,Other
group_932,,Other,Other
group_933,,Other,Other
group_934,,Lipoprotein,Other
group_935,,Other,Other
group_936,,Other,Other
group_937,,Other,Other
group_938,,Other,Other
group_939,,Other,Other
group_94,,Other,Other
group_940,,Other,Other
group_941,,Other,Other
group_942,,Other,Other
group_943,,Other,Other
group_944,,Other,Other
group_945,,Other,Other
group_946,,Other,Other
group_947,,Other,Other
group_948,,Other,Other
group_949,,Other,Other
group_95,,Other,Other
group_950,,Other,Other
group_951,,Other,Other
group_952,,Other,Other
group_953,,Other,Other
group_954,,Other,Other
group_955,,Other,Other
group_956,,Other,Other
group_957,,Other,Other
group_958,,Other,Other
group_959,,Other,Other
group_96,,Other,Other
group_960,,Other,Other
group_961,,Other,Other
group_962,,Other,Other
group_963,,Lipoprotein,Other
group_964,,Other,Other
group_965,,Lipoprotein,Other
group_966,,Other,Other
group_967,,Other,Other
group_968,,Other,Other
group_969,,Other,Other
group_97,S,Lipoprotein,Surface
group_970,,Other,Other
group_971,,Other,Other
group_972,,Other,Other
group_973,,Other,Other
group_974,,Other,Other
group_975,,Other,Other
group_976,,Other,Other
group_977,,Other,Other
group_978,,Other,Other
group_979,P-IM,Lipoprotein,Other
group_98,,Other,Other
group_980,,Other,Other
group_981,,Other,Other
group_982,,Other,Other
group_983,,Other,Other
group_984,,Other,Other
group_985,S,Lipoprotein,Surface
group_986,,Lipoprotein,Other
group_987,P-OM,Lipoprotein,Other
group_988,,Other,Other
group_989,,Other,Other
group_99,,Other,Other
group_990,,Other,Other
group_991,,Other,Other
group_992,,Other,Other
group_993,,Other,Other
group_994,,Other,Other
group_995,,Other,Other
group_996,,Other,Other
group_997,,Other,Other
group_998,,Other,Other
group_999,,Other,Other
grpE,,Other,Other
gsiA,,Other,Other
guaA,,Other,Other
guaB,,Other,Other
gyrA,,Other,Other
gyrB,,Other,Other
hDGYP,,Other,Other
hEAT,,Other,Other
hMG1,,Other,Other
hbb,,Other,Other
hflC,,Other,Other
hflK,,Other,Other
hfq,,Lipoprotein,Other
hinT,,Other,Other
hisS,,Other,Other
hlpA,,Other,Other
holA,,Other,Other
hpt1,,Other,Other
hrpA,,Other,Other
hslU,,Other,Other
hslV,,Other,Other
htpG,,Other,Other
ileS,,Other,Other
immA,,Other,Other
infA,,Other,Other
infB,,Other,Other
infC,,Other,Other
insQ,,Other,Other
iscU,,Other,Other
ispA,,Other,Other
jag,,Other,Other
khpA,,Other,Other
lapB,,Other,Other
ldcB,,Other,Other
ldh,,Other,Other
lepA,,Other,Other
lepB,,Other,Other
leuS,,Other,Other
lgt,,Other,Other
ligA,,Other,Other
lldP,,Other,Other
lnt,,Other,Other
lolA,,Other,Other
lolC,,Other,Other
lolC~~~lolE,,Other,Other
lolD,,Other,Other
lon,,Other,Other
lptB,,Other,Other
lptD,,Other,Other
lptF,,Other,Other
lspA,,Other,Other
luxS,,Other,Other
lysM,,Other,Other
lysS,,Other,Other
mMPL,,Other,Other
manA,,Other,Other
manB,,Other,Other
map,,Other,Other
mazG,,Other,Other
metG,,Other,Other
metK,,Other,Other
mfd,,Other,Other
mglA,,Other,Other
mgsA,,Other,Other
mgtE,,Other,Other
miaA,,Other,Other
mlp10~~~mlpH~~~mlpD,S,Lipoprotein,Surface
mlp8,S,Lipoprotein,Surface
mlp9,S,Lipoprotein,Surface
mlpA,S,Lipoprotein,Surface
mlpC,S,Lipoprotein,Surface
mlpF~~~mlpC,S,Lipoprotein,Surface
mlpF~~~mlpH~~~mlpA,S,Lipoprotein,Surface
mlpG,S,Lipoprotein,Surface
mlpH,S,Lipoprotein,Surface
mlpI,S,Lipoprotein,Surface
mlpI~~~mlpG,S,Lipoprotein,Surface
mlpJ,S,Lipoprotein,Surface
mlpL,S,Lipoprotein,Surface
mltE,,Lipoprotein,Other
mltG,,Other,Other
mnmA,,Other,Other
mnmC,,Lipoprotein,Other
mnmE,,Other,Other
mnmG,,Other,Other
motA,,Other,Other
motB,,Other,Other
moxR,,Other,Other
mpg,,Other,Other
mraY,,Other,Other
mrcA,,Other,Other
mrdA,,Other,Other
mreB,,Other,Other
mreC,,Other,Other
mreD,,Other,Other
mscS,,Other,Other
mtnN,,Other,Other
murA,,Other,Other
murB,,Other,Other
murC,,Other,Other
murD,,Other,Other
murE,,Other,Other
murF,,Other,Other
murG,,Other,Other
murI,,Other,Other
murJ,,Other,Other
mutL,,Other,Other
mutS,,Other,Other
mutS2,,Other,Other
mvaD,,Other,Other
mvk,,Other,Other
nAGPA,,Other,Other
nCS2,,Lipoprotein,Other
nIF3,,Other,Other
nadD,,Other,Other
nadE,,Other,Other
nadK,,Other,Other
nagA,,Other,Other
nagB,,Other,Other
nagC,,Other,Other
nanE,,Other,Other
napA,,Other,Other
ndk,,Other,Other
nhaC,,Other,Other
nlpD,,Other,Other
norM,,Other,Other
nosY,,Other,Other
nrnA,,Other,Other
nth,,Other,Other
ntrC,,Other,Other
ntrY,,Other,Other
nupN,,Other,Other
nupO,,Other,Other
nupP,,Other,Other
nupQ,,Other,Other
nusA,,Other,Other
nusB,,Other,Other
nusG,,Other,Other
obgE,,Lipoprotein,Other
ompA,,Other,Other
oppA,P-IM,Lipoprotein,Other
orfB,,Other,Other
orfR,,Lipoprotein,Other
osm28,,Other,Other
ospA,S,Lipoprotein,Surface
ospB,S,Lipoprotein,Surface
ospC,S,Lipoprotein,Surface
ospD,S,Lipoprotein,Surface
p22,P-IM,Lipoprotein,Other
pASTA,,Other,Other
pQQ,,Other,Other
paaJ,,Other,Other
panF,,Other,Other
parA,,Other,Other
parB,,Other,Other
parC,,Other,Other
parE,,Other,Other
pcnB,,Other,Other
pcs,,Other,Other
pdeA,,Other,Other
pdeB,,Other,Other
pdxI,,Other,Other
pdxK,,Lipoprotein,Other
pepD,,Other,Other
pepF,,Other,Other
pepP,,Other,Other
perM,,Other,Other
pfkA,,Other,Other
pfkB,,Other,Other
pfp,,Other,Other
pgeF,,Other,Other
pgi,,Other,Other
pgk,,Other,Other
pgl,,Other,Other
pgsA,,Other,Other
pheS,,Other,Other
pheT,,Other,Other
phnP,,Other,Other
phoU,,Other,Other
pilF,,Other,Other
pksG,,Other,Other
plsC,,Lipoprotein,Other
plzA,,Other,Other
pncA,,Other,Other
pncB,,Other,Other
pnp,,Lipoprotein,Other
polA,,Other,Other
potA,,Other,Other
potB,,Other,Other
potC,,Other,Other
potD,,Lipoprotein,Other
pqqL,,Lipoprotein,Other
prfA,,Other,Other
prfB,,Other,Other
priA,,Other,Other
prmC,,Other,Other
proS,,Other,Other
proV,,Other,Other
proW,,Other,Other
proX,P-IM,Lipoprotein,Other
prs,,Other,Other
psgB,,Lipoprotein,Other
pspE,,Other,Other
pstA,,Other,Other
pstB,,Lipoprotein,Other
pstC,,Other,Other
pstS,P-IM,Lipoprotein,Other
pta,,Other,Other
pth,,Other,Other
ptsG,,Other,Other
ptsG2,,Other,Other
ptsH,,Other,Other
ptsI,,Other,Other
ptsN,,Other,Other
pyk,,Other,Other
pyrG,,Other,Other
pyrH,,Other,Other
queA,,Other,Other
rCL,,Other,Other
raiA,,Other,Other
rbfA,,Other,Other
rdgB,,Other,Other
rdgC,,Other,Other
recA,,Other,Other
recB,,Other,Other
recD,,Other,Other
recG,,Other,Other
recJ,,Other,Other
repU,,Other,Other
resT,,Other,Other
revA,,Lipoprotein,Other
rfaB,,Other,Other
rho,,Other,Other
rimM,,Other,Other
rimP,,Other,Other
rlmB,,Other,Other
rlmE,,Other,Other
rlpA,,Other,Other
rluD,,Other,Other
rnc,,Other,Other
rnfC,,Other,Other
rnfE,,Lipoprotein,Other
rnhB,,Other,Other
rnmV,,Other,Other
rnpA,,Other,Other
rny,,Other,Other
rnz,,Other,Other
rodA,,Other,Other
rpiA,,Other,Other
rplA,,Other,Other
rplB,,Other,Other
rplC,,Other,Other
rplD,,Other,Other
rplE,,Other,Other
rplF,,Other,Other
rplI,,Other,Other
rplJ,,Other,Other
rplK,,Other,Other
rplL,,Other,Other
rplM,,Other,Other
rplN,,Other,Other
rplO,,Other,Other
rplP,,Other,Other
rplQ,,Other,Other
rplR,,Other,Other
rplS,,Other,Other
rplT,,Other,Other
rplU,,Other,Other
rplV,,Other,Other
rplW,,Other,Other
rplX,,Other,Other
rpmA,,Other,Other
rpmB,,Other,Other
rpmC,,Other,Other
rpmD,,Other,Other
rpmE2,,Other,Other
rpmF,,Other,Other
rpmG,,Other,Other
rpmH,,Other,Other
rpmI,,Other,Other
rpmJ,,Other,Other
rpoA,,Other,Other
rpoB,,Other,Other
rpoC,,Other,Other
rpoD,,Other,Other
rpoN,,Other,Other
rpoS,,Other,Other
rpoZ,,Other,Other
rpsA,,Other,Other
rpsB,,Other,Other
rpsC,,Other,Other
rpsD,,Other,Other
rpsE,,Other,Other
rpsF,,Other,Other
rpsG,,Other,Other
rpsH,,Other,Other
rpsI,,Other,Other
rpsJ,,Other,Other
rpsK,,Other,Other
rpsL,,Other,Other
rpsM,,Other,Other
rpsO,,Other,Other
rpsP,,Other,Other
rpsQ,,Other,Other
rpsR,,Other,Other
rpsS,,Other,Other
rpsT,,Other,Other
rpsU,,Other,Other
rpsZ,,Other,Other
rqcH,,Other,Other
rrp1,,Other,Other
rseP,,Other,Other
rsfS,,Other,Other
rsgA,,Other,Other
rsmA,,Other,Other
rsmD,,Other,Other
rsmE1,,Other,Other
rsmE2,,Other,Other
rsmG,,Other,Other
rsmH,,Other,Other
rsmI,,Other,Other
rsuA,,Other,Other
ruvA,,Other,Other
ruvB,,Other,Other
sEC59,,Other,Other
sIMPL,,Other,Other
sbcC,,Other,Other
sbcD,,Other,Other
secA,,Other,Other
secD,P-IM,Lipoprotein,Other
secE,,Other,Other
secF,,Other,Other
secG,,Other,Other
secY,,Other,Other
serS,,Other,Other
smc,,Lipoprotein,Other
smpB,,Other,Other
sod,,Other,Other
spo0J,,Other,Other
spoT,,Other,Other
spoVG,,Other,Other
ssb,,Other,Other
suhB,,Other,Other
surA,,Other,Other
swrD,,Other,Other
tACO1,,Other,Other
tM2,,Other,Other
tPR,,Other,Other
tadD,P-IM,Lipoprotein,Other
tar,,Other,Other
tatD,,Other,Other
tdk,,Other,Other
terY,,Other,Other
tgt,,Other,Other
thrS,,Other,Other
thyX,,Other,Other
tig,,Other,Other
tilS,,Other,Other
tlyC,,Other,Other
tmk,,Other,Other
tnpA,,Lipoprotein,Other
tnpB,,Other,Other
tnpB~~~insQ,,Other,Other
tolC,,Other,Other
topA,,Other,Other
tpiA,,Other,Other
treA,,Other,Other
trkA,,Other,Other
trkG,,Other,Other
trmD,,Other,Other
trmH,,Other,Other
trpS,,Other,Other
truA,,Other,Other
truB,,Other,Other
trxA,,Other,Other
trxB,,Other,Other
tsaB,,Other,Other
tsaC,,Other,Other
tsaD,,Other,Other
tsaE,,Other,Other
tsf,,Other,Other
tuf,,Lipoprotein,Other
tyrS,,Other,Other
udk,,Other,Other
ung,,Other,Other
uppP,,Other,Other
uppS,,Other,Other
uup,,Other,Other
uvrA,,Other,Other
uvrB,,Other,Other
uvrC,,Other,Other
uvrD,,Other,Other
valS,,Other,Other
vlsE,S,Lipoprotein,Surface
vlsE1,S,Lipoprotein,Surface
wcaA,,Other,Other
wcaG,,Other,Other
xkdP,P-OM,Lipoprotein,Other
xth,,Other,Other
xtmB,,Other,Other
yaaR,,Other,Other
yaiI,,Other,Other
yajC,,Other,Other
yajL,,Other,Other
ybeY,,Other,Other
ybhL,,Other,Other
ycf19,,Other,Other
ychF,,Other,Other
ydiL,,Other,Other
yeaD2,,Other,Other
yeeA,,Other,Other
yejE,,Other,Other
yfcC,,Other,Other
yfmG,,Other,Other
yhhQ,,Other,Other
yibQ,,Other,Other
yicC,,Other,Other
yidC,,Other,Other
yidD,,Other,Other
yifB,,Other,Other
yitT,,Other,Other
yjhX,,Other,Other
ykwD,S,Lipoprotein,Surface
yliI,,Other,Other
ylqF,,Other,Other
ymdB,,Other,Other
yncE,,Other,Other
yqaJ,,Other,Other
yqaJ~~~bppA,,Other,Other
yqfA,,Other,Other
yqxC,,Other,Other
ysxB,,Other,Other
yuiD,,Other,Other
yvaK,,Other,Other
zupT,,Other,Other
zwf,,Other,Other
