	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	Pfam_ACC	Pfam	COG20_PATHWAY_ACC	COG20_PATHWAY	KEGG_BRITE_ACC	KEGG_BRITE	KEGG_Module_ACC	KEGG_Module	KOfam_ACC	KOfam	KEGG_Class_ACC	KEGG_Class	COG20_CATEGORY_ACC	COG20_CAT_ACC	COG20_CATEGORY	COG20_FUNCTION_ACC	COG20_FUNCTION
GC_00000449	52	88	3	0	0.979007974	0.715182127	0.826553059	PF01672.21	Putative_plasmid_partition_protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000450	87	88	2	0	0.994335989	0.981616486	0.987935299	PF00933.26	Glycosyl_hydrolase_family_3_N_terminal_domain	ND	ND	ko00001	KEGG_Orthology_(KO)>>>09190_Not_Included_in_Pathway_or_Brite>>>09191_Unclassified:_metabolism>>>99981_Carbohydrate_metabolism	ND	ND	K01207	beta-N-acetylhexosaminidase_[EC:3.2.1.52]	ND	ND	G	G	Carbohydrate_transport_and_metabolism	COG1472	Periplasmic_beta-glucosidase_and_related_glycosidases_(BglX)_(PDB:2X40)
GC_00000451	88	88	1	1	0.991024589	0.987951858	0.989485838	PF01467.31	Cytidylyltransferase-like	COG0669	Pantothenate/CoA_biosynthesis	ko00001|ko01000	KEGG_Orthology_(KO)>>>09100_Metabolism>>>09108_Metabolism_of_cofactors_and_vitamins>>>00770_Pantothenate_and_CoA_biosynthesis_[PATH:ko00770]|Enzymes>>>2._Transferases>>>2.7__Transferring_phosphorus-containing_groups>>>2.7.7__Nucleotidyltransferases>>>2.7.7.3__pantetheine-phosphate_adenylyltransferase	M00120	Coenzyme_A_biosynthesis,_pantothenate_=>_CoA	K00954	pantetheine-phosphate_adenylyltransferase_[EC:2.7.7.3]	M00120	Pathway_modules;_Metabolism_of_cofactors_and_vitamins;_Cofactor_and_vitamin_metabolism	H	H	Coenzyme_transport_and_metabolism	COG0669	Phosphopantetheine_adenylyltransferase_(CoaD)_(PDB:3F3M)
GC_00000452	88	88	1	1	0.992169621	0.981372025	0.986741285	PF01311.25	Bacterial_export_proteins,_family_1	ND	ND	ko02044	Secretion_system>>>Type_III_secretion_system>>>Type_III_secretion_core_apparatus	ND	ND	K02421	flagellar_biosynthesis_protein_FliR	ND	ND	N	N	Cell_motility	COG1684	Flagellar_biosynthesis_protein_FliR_(FliR)_(PDB:6S3R)
GC_00000453	88	88	1	1	0.992694481	0.995740725	0.99421527	PF03372.28	Endonuclease/Exonuclease/phosphatase_family	ND	ND	ko00001|ko01000|ko03400	KEGG_Orthology_(KO)>>>09120_Genetic_Information_Processing>>>09124_Replication_and_repair>>>03410_Base_excision_repair_[PATH:ko03410]|Enzymes>>>3._Hydrolases>>>3.1__Acting_on_ester_bonds>>>3.1.11__Exodeoxyribonucleases_producing_5'-phosphomonoesters>>>3.1.11.2__exodeoxyribonuclease_III|DNA_repair_and_recombination_proteins>>>Prokaryotic_type>>>SSBR_(single_strand_breaks_repair)>>>BER_(base_exicision_repair)>>>AP_endonucleases	ND	ND	K01142	exodeoxyribonuclease_III_[EC:3.1.11.2]	ND	ND	L	L	Replication,_recombination_and_repair	COG0708	Exonuclease_III_(XthA)_(PDB:1AKO)
GC_00000454	88	88	1	1	0.995514756	0.984586956	0.990020702	PF00813.25	FliP_family	ND	ND	ko00001|ko02044|ko02035	KEGG_Orthology_(KO)>>>09140_Cellular_Processes>>>09142_Cell_motility>>>02040_Flagellar_assembly_[PATH:ko02040]|Secretion_system>>>Type_III_secretion_system>>>Flagellar_export_apparatus|Bacterial_motility_proteins>>>Flagellar_system>>>Flagellar_assembly_proteins>>>Type-III_secretion	ND	ND	K02419	flagellar_biosynthesis_protein_FliP	ND	ND	N	N	Cell_motility	COG1338	Flagellar_biosynthesis_protein_FliP_(FliP)_(PDB:5H72)
GC_00000455	88	88	1	1	0.995748901	0.99994994	0.997844999	PF01769.21	Divalent_cation_transporter	ND	ND	ko02000	Transporters>>>Other_transporters>>>Pores_ion_channels_[TC:1]	ND	ND	K06213	magnesium_transporter	ND	ND	P	P	Inorganic_ion_transport_and_metabolism	COG2239	Mg/Co/Ni_transporter_MgtE_(contains_CBS_domain)_(MgtE)_(PDB:2YVX)
GC_00000456	88	88	1	1	0.99341525	0.99390323	0.99365918	PF09822.14	ABC-type_uncharacterized_transport_system	ND	ND	ko02000	Transporters>>>ABC_transporters,_prokaryotic_type>>>ABC-2_type_and_other_transporters>>>Gliding_motility-associated_transporter	ND	ND	K25153	gliding_motility-associatede_transport_system_auxiliary_component	ND	ND	N	N	Cell_motility	COG3225	ABC-type_uncharacterized_transport_system_involved_in_gliding_motility,_auxiliary_component_(GldG)
GC_00000457	88	88	1	1	0.993792743	0.999812174	0.996793371	PF01594.21	AI-2E_family_transporter	ND	ND	ko00001	KEGG_Orthology_(KO)>>>09190_Not_Included_in_Pathway_or_Brite>>>09193_Unclassified:_signaling_and_cellular_processes>>>99992_Structural_proteins	ND	ND	K11744	AI-2_transport_protein_TqsA	ND	ND	R	R	General_function_prediction_only	COG0628	Predicted_PurR-regulated_permease_PerM_(PerM)
GC_00000458	88	88	1	1	0.994769425	0.999933932	0.997344993	PF01000.31	RNA_polymerase_Rpb3/RpoA_insert_domain	COG0202	RNA_polymerase	ko00001|ko01000|ko03021|ko03400	KEGG_Orthology_(KO)>>>09120_Genetic_Information_Processing>>>09121_Transcription>>>03020_RNA_polymerase_[PATH:ko03020]|Enzymes>>>2._Transferases>>>2.7__Transferring_phosphorus-containing_groups>>>2.7.7__Nucleotidyltransferases>>>2.7.7.6__DNA-directed_RNA_polymerase|Transcription_machinery>>>Prokaryotic_type>>>Bacterial_type>>>RNA_polymerase>>>Core_subunits|DNA_repair_and_recombination_proteins>>>Prokaryotic_type>>>SSBR_(single_strand_breaks_repair)>>>NER_(nucleotide_excision_repair)>>>TCR_(transcription_coupled_repair)_factors>>>DNA-directed_RNA_polymerase_complex_(RNAP)	ND	ND	K03040	DNA-directed_RNA_polymerase_subunit_alpha_[EC:2.7.7.6]	ND	ND	K	K	Transcription	COG0202	DNA-directed_RNA_polymerase,_alpha_subunit/40_kD_subunit_(RpoA)_(PDB:4KN7)
GC_00000459	88	88	1	1	0.9939434	0.995820152	0.994880891	PF00348.22	Polyprenyl_synthetase	COG0142	Isoprenoid_biosynthesis	ND	ND	ND	ND	ND	ND	ND	ND	H	H	Coenzyme_transport_and_metabolism	COG0142	Geranylgeranyl_pyrophosphate_synthase_(IspA)_(PDB:2AZJ)
GC_00000460	88	88	1	1	0.992539439	0.975131377	0.983758403	PF01728.24	FtsJ-like_methyltransferase	COG0293	23S_rRNA_modification	ko01000|ko03009	Enzymes>>>2._Transferases>>>2.1__Transferring_one-carbon_groups>>>2.1.1__Methyltransferases>>>2.1.1.168__21S_rRNA_(uridine2791-2'-O)-methyltransferase|Ribosome_biogenesis>>>Eukaryotic_type>>>Other_ribosome_biogenesis_factors	ND	ND	K02427	23S_rRNA_(uridine2552-2'-O)-methyltransferase_[EC:2.1.1.166]	ND	ND	J	J	Translation,_ribosomal_structure_and_biogenesis	COG0293	23S_rRNA_U2552_(ribose-2'-O)-methylase_RlmE/FtsJ_(RlmE)_(PDB:1EIZ)_(PUBMED:10769117)
GC_00000461	88	88	1	1	0.995965035	0.987851038	0.991891443	PF05362.18	Lon_protease_(S16)_C-terminal_proteolytic_domain	ND	ND	ko00001|ko01000|ko01002	KEGG_Orthology_(KO)>>>09140_Cellular_Processes>>>09143_Cell_growth_and_death>>>04112_Cell_cycle_-_Caulobacter_[PATH:ko04112]|Enzymes>>>3._Hydrolases>>>3.4__Acting_on_peptide_bonds_(peptidases)>>>3.4.21__Serine_endopeptidases>>>3.4.21.53__endopeptidase_La|Peptidases_and_inhibitors>>>Serine_peptidases>>>Family_S16:_lon_protease_family	ND	ND	K01338	ATP-dependent_Lon_protease_[EC:3.4.21.53]	ND	ND	O	O	Posttranslational_modification,_protein_turnover,_chaperones	COG0466	ATP-dependent_Lon_protease,_bacterial_type_(Lon)_(PDB:6ON2)
GC_00000462	88	88	1	1	0.989156009	0.999873737	0.994485997	PF13189.11	Cytidylate_kinase-like_family	ND	ND	ko00001|ko01000	KEGG_Orthology_(KO)>>>09100_Metabolism>>>09104_Nucleotide_metabolism>>>00240_Pyrimidine_metabolism_[PATH:ko00240]|Enzymes>>>2._Transferases>>>2.7__Transferring_phosphorus-containing_groups>>>2.7.4__Phosphotransferases_with_a_phosphate_group_as_acceptor>>>2.7.4.25__(d)CMP_kinase	ND	ND	K00945	CMP/dCMP_kinase_[EC:2.7.4.25]	ND	ND	F	F	Nucleotide_transport_and_metabolism	COG1102	Cytidylate_kinase_(CmkB)
GC_00000463	88	88	1	1	0.990811284	0.999892288	0.995331073	PF00406.27	Adenylate_kinase	COG0563	Pyrimidine_biosynthesis	ND	ND	ND	ND	ND	ND	ND	ND	F	F	Nucleotide_transport_and_metabolism	COG0563	Adenylate_kinase_or_related_kinase_(Adk)_(PDB:1AK2)
GC_00000464	87	88	2	0	0.996832518	0.980125678	0.988408505	PF13413.11	Helix-turn-helix_domain	ND	ND	ko00001	KEGG_Orthology_(KO)>>>09190_Not_Included_in_Pathway_or_Brite>>>09193_Unclassified:_signaling_and_cellular_processes>>>99992_Structural_proteins	ND	ND	K15539	cytoskeleton_protein_RodZ	ND	ND	D	D	Cell_cycle_control,_cell_division,_chromosome_partitioning	COG1426	Cytoskeletal_protein_RodZ,_contains_Xre-like_HTH_and_DUF4115_domains_(RodZ)_(PDB:3FYM)
GC_00000465	88	88	1	1	0.994104152	0.998948747	0.996520561	PF06429.18	Flagellar_basal_body_rod_FlgEFG_protein_C-terminal	ND	ND	ko00001|ko02035	KEGG_Orthology_(KO)>>>09140_Cellular_Processes>>>09142_Cell_motility>>>02040_Flagellar_assembly_[PATH:ko02040]|Bacterial_motility_proteins>>>Flagellar_system>>>Flagellar_assembly_proteins>>>Rod_and_hook	ND	ND	K02391	flagellar_basal-body_rod_protein_FlgF	ND	ND	N	N	Cell_motility	COG4786	Flagellar_basal_body_rod_protein_FlgG_(FlgG)_(PDB:6JZR)
GC_00000466	88	88	1	1	0.996436538	0.999655665	0.998043506	PF00574.28	Clp_protease	ND	ND	ko00001|ko01000|ko01002	KEGG_Orthology_(KO)>>>09140_Cellular_Processes>>>09143_Cell_growth_and_death>>>04112_Cell_cycle_-_Caulobacter_[PATH:ko04112]|Enzymes>>>3._Hydrolases>>>3.4__Acting_on_peptide_bonds_(peptidases)>>>3.4.21__Serine_endopeptidases>>>3.4.21.92__endopeptidase_Clp|Peptidases_and_inhibitors>>>Serine_peptidases>>>Family_S14:_ClpP_endopeptidase_family	ND	ND	K01358	ATP-dependent_Clp_protease,_protease_subunit_[EC:3.4.21.92]	ND	ND	O	O	Posttranslational_modification,_protein_turnover,_chaperones	COG0740	ATP-dependent_protease_ClpP,_protease_subunit_(ClpP)_(PDB:1TG6)
GC_00000467	88	88	1	1	0.991380071	1	0.995671379	PF02578.20	Multi-copper_polyphenol_oxidoreductase_laccase	ND	ND	ko00001|ko00001|ko01000|ko01000|ko01000	KEGG_Orthology_(KO)>>>09100_Metabolism>>>09104_Nucleotide_metabolism>>>00230_Purine_metabolism_[PATH:ko00230]|KEGG_Orthology_(KO)>>>09100_Metabolism>>>09105_Amino_acid_metabolism>>>00270_Cysteine_and_methionine_metabolism_[PATH:ko00270]|Enzymes>>>2._Transferases>>>2.4__Glycosyltransferases>>>2.4.2__Pentosyltransferases>>>2.4.2.1__purine-nucleoside_phosphorylase|Enzymes>>>2._Transferases>>>2.4__Glycosyltransferases>>>2.4.2__Pentosyltransferases>>>2.4.2.28__S-methyl-5'-thioadenosine_phosphorylase|Enzymes>>>3._Hydrolases>>>3.5__Acting_on_carbon-nitrogen_bonds,_other_than_peptide_bonds>>>3.5.4__In_cyclic_amidines>>>3.5.4.4__adenosine_deaminase	M00958|M00959|M00034	Adenine_ribonucleotide_degradation,_AMP_=>_Urate|Guanine_ribonucleotide_degradation,_GMP_=>_Urate|Methionine_salvage_pathway	K05810	purine-nucleoside/S-methyl-5'-thioadenosine_phosphorylase_/_adenosine_deaminase_[EC:2.4.2.1_2.4.2.28_3.5.4.4]	M00958|M00959|M00034	Pathway_modules;_Nucleotide_metabolism;_Purine_metabolism|Pathway_modules;_Nucleotide_metabolism;_Purine_metabolism|Pathway_modules;_Amino_acid_metabolism;_Cysteine_and_methionine_metabolism	P	P	Inorganic_ion_transport_and_metabolism	COG1496	Copper_oxidase_(laccase)_domain_(YfiH)_(PDB:1RV9)
GC_00000468	88	88	1	1	0.994747624	0.999689532	0.997212456	PF01556.23	DnaJ_C_terminal_domain	ND	ND	ko03110|ko03029	Chaperones_and_folding_catalysts>>>Heat_shock_proteins>>>HSP40_/_DNAJ|Mitochondrial_biogenesis>>>Mitochondrial_protein_import_machinery>>>Matrix>>>Other_matrix_factors	ND	ND	K03686	molecular_chaperone_DnaJ	ND	ND	O	O	Posttranslational_modification,_protein_turnover,_chaperones	COG0484	DnaJ-class_molecular_chaperone_with_C-terminal_Zn_finger_domain_(DnaJ)_(PDB:1BQ0)
GC_00000469	88	88	1	1	0.994072951	1	0.997027667	PF00528.27	Binding-protein-dependent_transport_system_inner_membrane_component	ND	ND	ko00001|ko02000	KEGG_Orthology_(KO)>>>09130_Environmental_Information_Processing>>>09131_Membrane_transport>>>02010_ABC_transporters_[PATH:ko02010]|Transporters>>>ABC_transporters,_prokaryotic_type>>>Phosphate_and_amino_acid_transporters>>>Phosphate_transporter	ND	ND	K02037	phosphate_transport_system_permease_protein	ND	ND	P	P	Inorganic_ion_transport_and_metabolism	COG0573	ABC-type_phosphate_transport_system,_permease_component_(PstC)
GC_00000470	88	88	1	1	0.992333888	0.997319035	0.994820216	PF01312.24	FlhB_HrpN_YscU_SpaS_Family	ND	ND	ko00001|ko02044|ko02035	KEGG_Orthology_(KO)>>>09140_Cellular_Processes>>>09142_Cell_motility>>>02040_Flagellar_assembly_[PATH:ko02040]|Secretion_system>>>Type_III_secretion_system>>>Flagellar_export_apparatus|Bacterial_motility_proteins>>>Flagellar_system>>>Flagellar_assembly_proteins>>>Type-III_secretion	ND	ND	K02401	flagellar_biosynthesis_protein_FlhB	ND	ND	N	N	Cell_motility	COG1377	Flagellar_biosynthesis_protein_FlhB_(FlhB)_(PDB:6S3L)
GC_00000471	88	88	1	1	0.992537896	0.999631472	0.996072055	PF01965.29	DJ-1/PfpI_family	ND	ND	ko01000|ko01002	Enzymes>>>3._Hydrolases>>>3.5__Acting_on_carbon-nitrogen_bonds,_other_than_peptide_bonds>>>3.5.1__In_linear_amides>>>3.5.1.124__protein_deglycase|Peptidases_and_inhibitors>>>Cysteine_peptidases>>>Family_C56:_PfpI_endopeptidase_family	ND	ND	K03152	protein_deglycase_[EC:3.5.1.124]	ND	ND	V	V	Defense_mechanisms	COG0693	Protein/nucleotide_deglycase,_PfpI/YajL/DJ-1_family_(repair_of_methylglyoxal-glycated_proteins_and_nucleic_acids)_(YajL)_(PDB:5SY4)_(PUBMED:19028889;28596309;26678554)
GC_00000472	88	88	1	1	0.994324814	0.996575296	0.995448783	PF00587.30	tRNA_synthetase_class_II_core_domain_(G,_H,_P,_S_and_T)	COG0441	Aminoacyl-tRNA_synthetases	ko00001|ko01000|ko01007|ko03016|ko03016	KEGG_Orthology_(KO)>>>09120_Genetic_Information_Processing>>>09122_Translation>>>00970_Aminoacyl-tRNA_biosynthesis_[PATH:ko00970]|Enzymes>>>6._Ligases>>>6.1__Forming_carbon-oxygen_bonds>>>6.1.1__Ligases_forming_aminoacyl-tRNA_and_related_compounds>>>6.1.1.3__threonine---tRNA_ligase|Amino_acid_related_enzymes>>>Aminoacyl-tRNA_synthetase>>>Class_II_(C/G)|Transfer_RNA_biogenesis>>>Eukaryotic_type>>>Aminoacyl-tRNA_synthetases_(AARSs)>>>Other_AARSs|Transfer_RNA_biogenesis>>>Prokaryotic_type>>>Aminoacyl-tRNA_synthetases_(AARSs)>>>Other_AARSs	ND	ND	K01868	threonyl-tRNA_synthetase_[EC:6.1.1.3]	ND	ND	J	J	Translation,_ribosomal_structure_and_biogenesis	COG0441	Threonyl-tRNA_synthetase_(ThrS)_(PDB:1NYQ)
GC_00000473	87	88	2	0	0.994174021	0.999146687	0.996654151	PF02302.22	PTS_system,_Lactose/Cellobiose_specific_IIB_subunit	ND	ND	ko00001|ko00001|ko01000|ko01000|ko02000	KEGG_Orthology_(KO)>>>09100_Metabolism>>>09101_Carbohydrate_metabolism>>>00500_Starch_and_sucrose_metabolism_[PATH:ko00500]|KEGG_Orthology_(KO)>>>09130_Environmental_Information_Processing>>>09131_Membrane_transport>>>02060_Phosphotransferase_system_(PTS)_[PATH:ko02060]|Enzymes>>>2._Transferases>>>2.7__Transferring_phosphorus-containing_groups>>>2.7.1__Phosphotransferases_with_an_alcohol_group_as_acceptor>>>2.7.1.196__protein-Npi-phosphohistidine---N,N'-diacetylchitobiose_phosphotransferase|Enzymes>>>2._Transferases>>>2.7__Transferring_phosphorus-containing_groups>>>2.7.1__Phosphotransferases_with_an_alcohol_group_as_acceptor>>>2.7.1.205__protein-Npi-phosphohistidine---cellobiose_phosphotransferase|Transporters>>>Phosphotransferase_system_(PTS)>>>Enzyme_II_[TC:4.A]>>>Cellobiose-specific_II_component	ND	ND	K02760	cellobiose_PTS_system_EIIB_component_[EC:2.7.1.196_2.7.1.205]	ND	ND	G	G	Carbohydrate_transport_and_metabolism	COG1440	Phosphotransferase_system_cellobiose-specific_component_IIB_(CelA)_(PDB:1E2B)
GC_00000474	88	88	1	1	0.992918175	0.915689208	0.952741213	PF02417.20	Chromate_transporter	ND	ND	ko02000	Transporters>>>Other_transporters>>>Electrochemical_potential-driven_transporters_[TC:2]	ND	ND	K07240	chromate_transporter	ND	ND	P	P	Inorganic_ion_transport_and_metabolism	COG2059	Chromate_transport_protein_ChrA_(ChrA)
GC_00000475	88	88	1	1	0.994049056	0.997899944	0.995970778	PF00005.32	ABC_transporter	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	G	G	Carbohydrate_transport_and_metabolism	COG1129	ABC-type_sugar_transport_system,_ATPase_component_(MglA)
GC_00000476	88	88	1	1	0.992714119	1	0.99634374	PF06026.19	Ribose_5-phosphate_isomerase_A_(phosphoriboisomerase_A)	COG0120	Pentose_phosphate_pathway	ko00001|ko00001|ko01000	KEGG_Orthology_(KO)>>>09100_Metabolism>>>09101_Carbohydrate_metabolism>>>00030_Pentose_phosphate_pathway_[PATH:ko00030]|KEGG_Orthology_(KO)>>>09100_Metabolism>>>09102_Energy_metabolism>>>00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]|Enzymes>>>5._Isomerases>>>5.3__Intramolecular_oxidoreductases>>>5.3.1__Interconverting_aldoses_and_ketoses,_and_related_compounds>>>5.3.1.6__ribose-5-phosphate_isomerase	M00004|M00007|M00580|M00165|M00167|M00611|M00612	Pentose_phosphate_pathway_(Pentose_phosphate_cycle)|Pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6P_=>_ribose_5P|Pentose_phosphate_pathway,_archaea,_fructose_6P_=>_ribose_5P|Reductive_pentose_phosphate_cycle_(Calvin_cycle)|Reductive_pentose_phosphate_cycle,_glyceraldehyde-3P_=>_ribulose-5P|Oxygenic_photosynthesis_in_plants_and_cyanobacteria|Anoxygenic_photosynthesis_in_purple_bacteria	K01807	ribose_5-phosphate_isomerase_A_[EC:5.3.1.6]	M00004|M00007|M00580|M00165|M00167|M00611|M00612	Pathway_modules;_Carbohydrate_metabolism;_Central_carbohydrate_metabolism|Pathway_modules;_Carbohydrate_metabolism;_Central_carbohydrate_metabolism|Pathway_modules;_Carbohydrate_metabolism;_Central_carbohydrate_metabolism|Pathway_modules;_Energy_metabolism;_Carbon_fixation|Pathway_modules;_Energy_metabolism;_Carbon_fixation|Signature_modules;_Module_set;_Metabolic_capacity|Signature_modules;_Module_set;_Metabolic_capacity	G	G	Carbohydrate_transport_and_metabolism	COG0120	Ribose_5-phosphate_isomerase_(RpiA)_(PDB:1KS2)
GC_00000477	88	88	1	1	0.996754649	0.999955869	0.998352693	PF07497.17	Rho_termination_factor,_RNA-binding_domain	ND	ND	ko00001|ko03021|ko03019	KEGG_Orthology_(KO)>>>09120_Genetic_Information_Processing>>>09123_Folding,_sorting_and_degradation>>>03018_RNA_degradation_[PATH:ko03018]|Transcription_machinery>>>Prokaryotic_type>>>Bacterial_type>>>Other_transcription-related_factors>>>Transcription_termination_factor|Messenger_RNA_biogenesis>>>Prokaryotic_type>>>Bacterial_mRNA_degradation_factors>>>RNA_degradosome_components>>>Other_RNA_degradosome_components	ND	ND	K03628	transcription_termination_factor_Rho	ND	ND	K	K	Transcription	COG1158	Transcription_termination_factor_Rho_(Rho)_(PDB:1PVO)
GC_00000478	88	88	1	1	0.99570847	0.983755465	0.989695878	PF01668.23	SmpB_protein	ND	ND	ko00001	KEGG_Orthology_(KO)>>>09190_Not_Included_in_Pathway_or_Brite>>>09192_Unclassified:_genetic_information_processing>>>99975_Protein_processing	ND	ND	K03664	SsrA-binding_protein	ND	ND	O	O	Posttranslational_modification,_protein_turnover,_chaperones	COG0691	tmRNA-binding_protein_(SmpB)_(PDB:1J1H)_(PUBMED:26251518)
GC_00000479	88	88	1	1	0.99739014	0.980623185	0.988935599	PF00091.30	Tubulin/FtsZ_family,_GTPase_domain	ND	ND	ko00001|ko03036|ko04812|ko02048	KEGG_Orthology_(KO)>>>09140_Cellular_Processes>>>09143_Cell_growth_and_death>>>04112_Cell_cycle_-_Caulobacter_[PATH:ko04112]|Chromosome_and_associated_proteins>>>Prokaryotic_type>>>Chromosome_partitioning_proteins>>>Divisome_proteins|Cytoskeleton_proteins>>>Prokaryotic_cytoskeleton_proteins>>>Microtubules_homologs|Prokaryotic_defense_system>>>Toxin-antitoxin_system_(TA_system)>>>Type_II_TA_system>>>Type_II_TA_system_related_factors	ND	ND	K03531	cell_division_protein_FtsZ	ND	ND	D	D	Cell_cycle_control,_cell_division,_chromosome_partitioning	COG0206	Cell_division_GTPase_FtsZ_(FtsZ)_(PDB:1FSZ)
GC_00000480	88	88	1	1	0.996247428	0.990545455	0.993388259	PF01339.22	CheB_methylesterase	ND	ND	ko00001|ko00001|ko01000|ko01000|ko02022|ko02035	KEGG_Orthology_(KO)>>>09130_Environmental_Information_Processing>>>09132_Signal_transduction>>>02020_Two-component_system_[PATH:ko02020]|KEGG_Orthology_(KO)>>>09140_Cellular_Processes>>>09142_Cell_motility>>>02030_Bacterial_chemotaxis_[PATH:ko02030]|Enzymes>>>3._Hydrolases>>>3.1__Acting_on_ester_bonds>>>3.1.1__Carboxylic-ester_hydrolases>>>3.1.1.61__protein-glutamate_methylesterase|Enzymes>>>3._Hydrolases>>>3.5__Acting_on_carbon-nitrogen_bonds,_other_than_peptide_bonds>>>3.5.1__In_linear_amides>>>3.5.1.44__protein-glutamine_glutaminase|Two-component_system>>>CheA_family>>>CheA-CheYBV_(chemotaxis)|Bacterial_motility_proteins>>>Flagellar_system>>>Chemotaxis_proteins>>>Two_component_system_proteins	ND	ND	K03412	two-component_system,_chemotaxis_family,_protein-glutamate_methylesterase/glutaminase_[EC:3.1.1.61_3.5.1.44]	ND	ND	T	T	Signal_transduction_mechanisms	COG2201	Chemotaxis_response_regulator_CheB,_contains_REC_and_protein-glutamate_methylesterase_domains_(CheB)_(PDB:1A2O)
GC_00000481	88	88	1	1	0.990918099	1	0.995438335	PF01926.28	50S_ribosome-binding_GTPase	ND	ND	ko03009|ko03009|ko03029	Ribosome_biogenesis>>>Eukaryotic_type>>>Other_ribosome_biogenesis_factors|Ribosome_biogenesis>>>Prokaryotic_type>>>GTPases|Mitochondrial_biogenesis>>>Mitochondrial_DNA_transcription,_translation,_and_replication_factors>>>Mitochondrial_transcription_and_translation_factors>>>Other_mitochondrial_DNA_transcription_and_translation_factors	ND	ND	K03595	GTPase	ND	ND	J	J	Translation,_ribosomal_structure_and_biogenesis	COG1159	GTPase_Era,_involved_in_16S_rRNA_processing_(Era)_(PDB:1EGA)
GC_00000482	88	88	1	1	0.991559169	1	0.995761697	PF00696.33	Amino_acid_kinase_family	COG0528	Pyrimidine_biosynthesis	ko00001|ko01000	KEGG_Orthology_(KO)>>>09100_Metabolism>>>09104_Nucleotide_metabolism>>>00240_Pyrimidine_metabolism_[PATH:ko00240]|Enzymes>>>2._Transferases>>>2.7__Transferring_phosphorus-containing_groups>>>2.7.4__Phosphotransferases_with_a_phosphate_group_as_acceptor>>>2.7.4.22__UMP_kinase	M00052	Pyrimidine_ribonucleotide_biosynthesis,_UMP_=>_UDP/UTP,CDP/CTP	K09903	uridylate_kinase_[EC:2.7.4.22]	M00052	Pathway_modules;_Nucleotide_metabolism;_Pyrimidine_metabolism	F	F	Nucleotide_transport_and_metabolism	COG0528	Uridylate_kinase_(PyrH)_(PDB:2BND)
GC_00000483	88	88	1	1	0.995739864	0.991614096	0.993672698	PF22422.1	Mannosylglycerate_hydrolase_MGH1-like_glycoside_hydrolase_domain	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	G	G	Carbohydrate_transport_and_metabolism	COG1626	Neutral_trehalase_(TreA)_(PDB:2JF4)
GC_00000484	88	88	1	1	0.992798759	0.997854101	0.995320011	PF00308.23	Bacterial_DnaA_ATPAse_domain	ND	ND	ko00001|ko00001|ko03032|ko03036	KEGG_Orthology_(KO)>>>09130_Environmental_Information_Processing>>>09132_Signal_transduction>>>02020_Two-component_system_[PATH:ko02020]|KEGG_Orthology_(KO)>>>09140_Cellular_Processes>>>09143_Cell_growth_and_death>>>04112_Cell_cycle_-_Caulobacter_[PATH:ko04112]|DNA_replication_proteins>>>Prokaryotic_type>>>DNA_Replication_Initiation_Factors>>>Initiation_factors_(bacterial)|Chromosome_and_associated_proteins>>>Prokaryotic_type>>>Nucleoid_associated_proteins>>>Other_nucleoid_associated_proteins	ND	ND	K02313	chromosomal_replication_initiator_protein	ND	ND	L	L	Replication,_recombination_and_repair	COG0593	Chromosomal_replication_initiation_ATPase_DnaA_(DnaA)_(PDB:1L8Q)
GC_00000485	88	88	1	1	0.992443348	0.998178597	0.99530271	PF00041.26	Fibronectin_type_III_domain	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	R|G	R	General_function_prediction_only|Carbohydrate_transport_and_metabolism	COG3401|COG5498	Fibronectin_type_3_domain_(FN3)|Endoglucanase_Acf2_(Acf2)
GC_00000486	88	88	1	1	0.990815557	0.99856633	0.994675844	PF01520.23	N-acetylmuramoyl-L-alanine_amidase	ND	ND	ko01000|ko01011|ko03036	Enzymes>>>3._Hydrolases>>>3.5__Acting_on_carbon-nitrogen_bonds,_other_than_peptide_bonds>>>3.5.1__In_linear_amides>>>3.5.1.28__N-acetylmuramoyl-L-alanine_amidase|Peptidoglycan_biosynthesis_and_degradation_proteins>>>Peptidoglycan_biosynthesis_and_degradation>>>Amidase|Chromosome_and_associated_proteins>>>Prokaryotic_type>>>Chromosome_partitioning_proteins>>>Divisome_proteins	ND	ND	K01448	N-acetylmuramoyl-L-alanine_amidase_[EC:3.5.1.28]	ND	ND	M	M	Cell_wall/membrane/envelope_biogenesis	COG0860	N-acetylmuramoyl-L-alanine_amidase_(AmiC)_(PDB:1JWQ)
